1000000	0.00357131
2000000	0.00590033
3000000	0.00790454
4000000	0.00972556
5000000	0.0122523
6000000	0.0146014
7000000	0.0170733
8000000	0.0192126
9000000	0.022097
10000000	0.0245787
11000000	0.0273202
12000000	0.0290788
13000000	0.0326771
14000000	0.0349731
15000000	0.0379288
16000000	0.740163
17000000	0.775227
18000000	0.849631
19000000	0.850795
20000000	0.879994
21000000	0.915645
22000000	0.952661
23000000	0.987469
24000000	1.96619
25000000	2.10201
26000000	2.29644
27000000	2.43413
28000000	2.56716
