1000000	0.00320267
2000000	0.00628276
3000000	0.00950137
4000000	0.0115633
5000000	0.0152572
6000000	0.0184966
7000000	0.0221259
8000000	0.0235129
9000000	0.0302017
10000000	0.0335654
11000000	0.0375939
12000000	0.0369494
13000000	0.0422433
14000000	0.0442841
15000000	0.048504
16000000	0.145058
17000000	0.150704
18000000	0.839821
19000000	0.900505
20000000	0.907068
21000000	1.64773
22000000	1.89869
23000000	2.0891
24000000	2.24933
25000000	2.34228
26000000	2.45887
27000000	2.72879
28000000	2.82367
