50000	135911
100000	264680
150000	390887
200000	525227
250000	653225
300000	782777
350000	914152
400000	1040554
450000	1180883
500000	1319721
550000	1398515
600000	1515534
650000	1626215
700000	1731693
750000	1848063
800000	1957832
850000	2066495
900000	2179135
950000	2329311
1000000	2428713
1050000	2619722
1100000	2733423
1150000	2851326
1200000	2957659
1250000	3079096
1300000	3189878
1350000	3296613
1400000	3423221
1450000	3532180
1500000	3645076
1550000	3767588
1600000	3929183
1650000	4042853
1700000	4163183
1750000	4265451
1800000	4384614
1850000	4501881
1900000	4660889
1950000	4751948
2000000	4868049
2050000	4974794
2100000	5130338
2150000	5251917
2200000	5361914
2250000	5481322
2300000	5591573
2350000	5695944
2400000	5832445
2450000	5942386
2500000	6052693
2550000	6163004
2600000	6267280
2650000	6437875
2700000	6571987
2750000	6672824
2800000	6773581
2850000	6929823
2900000	7046800
2950000	7160306
3000000	7245998
3050000	7372267
3100000	7501512
3150000	7669781
3200000	7764681
3250000	7872548
3300000	7992849
3350000	8109756
3400000	8206996
3450000	8333192
3500000	8455778
3550000	8561207
3600000	8667093
3650000	8797061
3700000	8959948
3750000	9063788
3800000	9199050
3850000	9346708
3900000	9424124
3950000	9560255
4000000	9684384
4050000	9761555
4100000	9894966
4150000	10026941
4200000	10156595
4250000	10258636
4300000	10385210
4350000	10486525
4400000	10609694
4450000	10733627
4500000	10831883
4550000	10943549
4600000	11029985
4650000	11147877
4700000	11283666
4750000	11433224
4800000	11312786
4850000	11522243
4900000	11636912
4950000	11772174
5000000	11886501
5050000	11994936
5100000	12094125
5150000	12215516
5200000	12325058
5250000	12445339
5300000	12632053
5350000	12826938
5400000	12958760
5450000	13064594
5500000	13173281
5550000	13306011
5600000	13388713
5650000	13524411
5700000	13589455
5750000	13630539
5800000	13913270
5850000	14035702
5900000	14157701
5950000	14270920
6000000	14381535
6050000	14481991
6100000	14599946
6150000	14711189
6200000	14825013
6250000	14928549
6300000	15105206
6350000	15197376
6400000	15311311
6450000	15427796
6500000	15244403
6550000	15575999
6600000	15747962
6650000	15853133
6700000	15983718
6750000	16052170
6800000	15921553
6850000	16199734
6900000	16254755
6950000	16621303
7000000	16710106
7050000	16834400
7100000	16933441
7150000	17048337
7200000	17149380
7250000	17269563
7300000	17371381
7350000	17556384
7400000	17656634
7450000	17751122
7500000	17872915
7550000	17997012
7600000	18102829
7650000	18205726
7700000	18356422
7750000	18464753
7800000	18505219
7850000	18516816
7900000	18800194
7950000	18881692
8000000	18787186
8050000	18632558
8100000	19237278
8150000	19328809
8200000	19444637
8250000	19566943
8300000	19684203
8350000	19792202
8400000	19995563
8450000	20120959
8500000	20225983
8550000	20324808
8600000	20432867
8650000	20594892
8700000	20702870
8750000	20800605
8800000	20889566
8850000	21019865
8900000	21137328
8950000	21276563
9000000	21419801
9050000	21521479
9100000	21622547
9150000	21721617
9200000	21850397
9250000	21948663
9300000	22066552
9350000	22178962
9400000	22311465
9450000	22465604
9500000	22572765
9550000	22690154
9600000	22809643
9650000	22938695
9700000	23045626
9750000	23162840
9800000	23257185
9850000	23385162
9900000	23487735
9950000	23604551
10000000	23767578
10050000	23875815
10100000	24002769
10150000	24102398
10200000	24212719
10250000	24326874
10300000	24431818
