0	10	0.0947586
0	100	0.000308279
0	1000	0.000358914
0	10000	0.00112773
0	100000	0.00768114
0	1000000	0.0652516
0	10000000	0.630532
0	100000000	5.50406
1	10	0.000581009
1	100	0.000296826
1	1000	0.000366178
1	10000	0.00104085
1	100000	0.00855165
1	1000000	0.0569514
1	10000000	0.552535
1	100000000	5.3748
2	10	0.000572629
2	100	0.000287257
2	1000	0.00115399
2	10000	0.000955988
2	100000	0.00695759
2	1000000	0.0567587
2	10000000	0.543148
2	100000000	5.37366
3	10	0.000567041
3	100	0.000345016
3	1000	0.00085814
3	10000	0.000967931
3	100000	0.00784164
3	1000000	0.0561384
3	10000000	0.545685
3	100000000	5.30599
