Time for add vectors of 1000000 elements:
0.098592	0.045408	0.097216	0.043424	0.074336	0.773312
0.113248	0.043520	0.097216	0.042944	0.075264	0.772608
0.097632	0.042816	0.096928	0.043136	0.074656	0.773248
0.096480	0.042816	0.096672	0.043136	0.073408	0.773376
0.096832	0.043136	0.096864	0.124736	0.073472	0.772576
0.096928	0.043296	0.096544	0.042944	0.073504	0.773568
0.097024	0.042848	0.097408	0.043168	0.073024	0.779456
0.098816	0.042944	0.098080	0.042720	0.075296	0.772992
0.096928	0.043936	0.097536	0.042656	0.073824	0.773888
0.097632	0.044224	0.101792	0.042848	0.073664	0.773056



